,band,species,beak length (mm),beak depth (mm),year
0,20123,fortis,9.25,8.05,1973
1,20126,fortis,11.35,10.45,1973
2,20128,fortis,10.15,9.55,1973
3,20129,fortis,9.95,8.75,1973
4,20133,fortis,11.55,10.15,1973
5,20136,fortis,11.15,9.85,1973
6,20138,fortis,10.05,8.85,1973
7,20142,fortis,11.25,10.15,1973
8,20143,fortis,9.15,8.15,1973
9,20146,fortis,9.25,8.55,1973
10,20149,fortis,11.75,10.65,1973
11,20150,fortis,9.05,8.05,1973
12,20152,fortis,11.15,9.75,1973
13,20155,fortis,11.25,10.15,1973
14,20156,fortis,10.45,9.85,1973
15,20157,fortis,10.65,9.75,1973
16,20163,fortis,10.05,8.35,1973
17,20164,fortis,10.45,8.55,1973
18,20169,fortis,11.45,10.25,1973
19,20172,fortis,11.15,9.35,1973
20,20174,fortis,10.95,10.15,1973
21,20176,fortis,9.55,8.55,1973
22,20177,fortis,10.65,8.85,1973
23,20178,fortis,10.05,9.85,1973
24,20181,fortis,11.25,10.75,1973
25,20183,fortis,10.85,9.85,1973
26,20203,fortis,10.05,8.45,1973
27,20206,fortis,11.95,10.55,1973
28,20211,fortis,9.85,8.35,1973
29,20215,fortis,9.35,8.25,1973
30,20217,fortis,12.05,10.95,1973
31,20218,fortis,10.35,9.15,1973
32,20219,fortis,10.65,8.85,1973
33,20221,fortis,10.95,10.05,1973
34,20229,fortis,10.25,9.55,1973
35,20230,fortis,12.65,12.15,1973
36,20233,fortis,10.65,9.55,1973
37,20235,fortis,10.75,9.75,1973
38,20239,fortis,10.15,9.25,1973
39,20243,fortis,10.25,9.05,1973
40,20244,fortis,10.35,8.45,1973
41,20246,fortis,10.55,9.55,1973
42,20247,fortis,10.95,9.95,1973
43,20249,fortis,11.65,10.65,1973
44,20250,fortis,9.85,7.95,1973
45,20253,fortis,11.15,10.65,1973
46,20256,fortis,10.05,9.15,1973
47,20258,fortis,11.15,10.05,1973
48,20263,fortis,10.95,9.75,1973
49,20268,fortis,11.05,10.05,1973
50,20269,fortis,10.65,9.65,1973
51,20271,fortis,10.85,9.45,1973
52,20272,fortis,11.05,10.75,1973
53,20275,fortis,11.05,9.85,1973
54,20276,fortis,11.55,11.15,1973
55,20277,fortis,11.25,10.85,1973
56,20278,fortis,10.25,8.55,1973
57,20282,fortis,11.05,10.25,1973
58,20292,fortis,9.95,8.35,1973
59,20296,fortis,10.65,9.15,1973
60,20299,fortis,9.95,9.35,1973
61,20301,fortis,11.05,10.15,1973
62,20302,fortis,10.75,9.75,1973
63,20306,fortis,11.75,10.75,1973
64,20307,fortis,10.25,9.35,1973
65,20308,fortis,9.45,8.65,1973
66,20309,fortis,11.85,10.35,1973
67,20310,fortis,10.95,10.55,1973
68,20313,fortis,10.35,9.45,1973
69,20317,fortis,10.15,8.85,1973
70,20318,fortis,10.45,9.45,1973
71,20320,fortis,11.35,9.85,1973
72,20324,fortis,9.85,9.15,1973
73,20121,scandens,15.15,9.35,1973
74,20125,scandens,15.05,9.75,1973
75,20135,scandens,14.45,8.35,1973
76,20159,scandens,14.05,9.55,1973
77,20160,scandens,14.25,8.55,1973
78,20175,scandens,14.65,9.85,1973
79,20182,scandens,15.45,10.65,1973
80,20187,scandens,15.15,9.55,1973
81,20200,scandens,14.95,9.85,1973
82,20207,scandens,13.65,9.75,1973
83,20220,scandens,14.65,7.95,1973
84,20224,scandens,15.65,9.95,1973
85,20245,scandens,14.05,9.55,1973
86,20254,scandens,13.85,9.15,1973
